"filename", "language", "TypeScript JSX", "TypeScript", "XML", "CSS", "comment", "blank", "total"
"/Users/raxel/Projects/Escalante-RadiussNet/Desktopapp/radiuss-net-admin/src/App.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"/Users/raxel/Projects/Escalante-RadiussNet/Desktopapp/radiuss-net-admin/src/App.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 5, 54
"/Users/raxel/Projects/Escalante-RadiussNet/Desktopapp/radiuss-net-admin/src/assets/react.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"/Users/raxel/Projects/Escalante-RadiussNet/Desktopapp/radiuss-net-admin/src/components/Esperando/Esperando.css", "CSS", 0, 0, 0, 122, 0, 3, 125
"/Users/raxel/Projects/Escalante-RadiussNet/Desktopapp/radiuss-net-admin/src/components/Esperando/Esperando.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 3, 26
"/Users/raxel/Projects/Escalante-RadiussNet/Desktopapp/radiuss-net-admin/src/components/ModalEditarCategoria.tsx", "TypeScript JSX", 75, 0, 0, 0, 0, 12, 87
"/Users/raxel/Projects/Escalante-RadiussNet/Desktopapp/radiuss-net-admin/src/components/ModalEditarProducto.tsx", "TypeScript JSX", 140, 0, 0, 0, 100, 17, 257
"/Users/raxel/Projects/Escalante-RadiussNet/Desktopapp/radiuss-net-admin/src/components/ModalEditarProveedor.tsx", "TypeScript JSX", 109, 0, 0, 0, 0, 12, 121
"/Users/raxel/Projects/Escalante-RadiussNet/Desktopapp/radiuss-net-admin/src/components/ModalEditarServicioInternet.tsx", "TypeScript JSX", 140, 0, 0, 0, 4, 16, 160
"/Users/raxel/Projects/Escalante-RadiussNet/Desktopapp/radiuss-net-admin/src/containers/ContenedorPrivado.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 7, 43
"/Users/raxel/Projects/Escalante-RadiussNet/Desktopapp/radiuss-net-admin/src/containers/ContenedorPublico.css", "CSS", 0, 0, 0, 102, 0, 20, 122
